Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,2,,DQN_Player,DISCARD,C8;Q1;J0,0.0,[ 3.  5.  6.  6.  7.  9.  9. 11. 11. 11. 11. 11. 11.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'C11;Q5;J0', 'C11;Q6;J0', 'pass']",,,,
1,2,,R0,DISCARD,C7;Q1;J1,0.0,[ 1.  3.  3.  5.  8.  8.  8.  9. 10. 10. 10. 10. 11. 11. 12.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[ 7. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C1;Q1;J0', 'C1;Q1;J1', 'C1;Q1;J2', 'C3;Q1;J0', 'C3;Q1;J1', 'C3;Q1;J2', 'C3;Q2;J0', 'C3;Q2;J1', 'C3;Q2;J2', 'C5;Q1;J0', 'C5;Q1;J1', 'C5;Q1;J2', 'C7;Q1;J0', 'C7;Q1;J1', 'C7;Q1;J2', 'pass']",,,,
1,2,,R1,DISCARD,C6;Q2;J0,0.0,[ 2.  7.  7.  7.  7.  8.  8.  8.  8.  9.  9. 10. 10.  0.  0.  0.  0.],[ 7. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q2;J0', 'pass']",,,,
1,2,,R2,DISCARD,C5;Q3;J0,0.0,[ 2.  4.  6.  6.  7.  9.  9.  9.  9. 10. 11.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q2;J0', 'C5;Q3;J0', 'pass']",,,,
1,2,,DQN_Player,DISCARD,pass,0.0,[ 3.  5.  6.  6.  7.  9.  9. 11. 11. 11. 11. 11. 11.  0.  0.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,2,,R0,DISCARD,pass,0.0,[ 1.  3.  3.  5.  8.  8.  8.  9. 10. 10. 10. 10. 11. 11. 12.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,2,,R1,DISCARD,pass,0.0,[ 2.  7.  7.  7.  7.  8.  8.  8.  8.  9.  9. 10. 10.  0.  0.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R2,DECLARE_PIZZA,,,,,,,,,,
1,3,,R2,DISCARD,C9;Q4;J0,0.0,[ 2.  4.  6.  6.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C4;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C9;Q4;J0', 'C10;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
1,3,,DQN_Player,DISCARD,pass,0.0,[ 3.  5.  6.  6.  7.  9.  9. 11. 11. 11. 11. 11. 11.  0.  0.  0.  0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,R0,DISCARD,pass,0.0,[ 1.  3.  3.  5.  8.  8.  8.  9. 10. 10. 10. 10. 11. 11. 12.  0.  0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,R1,DISCARD,C7;Q4;J0,0.0,[ 2.  8.  8.  8.  8.  9.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 7. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q4;J0', 'C8;Q4;J0', 'pass']",,,,
1,3,,R2,DISCARD,pass,0.0,[ 2.  4.  6.  6.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 7. 7. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 7. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R1,DECLARE_PIZZA,,,,,,,,,,
1,4,,R1,DISCARD,C10;Q2;J0,0.0,[2. 8. 8. 8. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C2;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C8;Q4;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
1,4,,R2,DISCARD,C6;Q2;J0,0.0,[ 2.  4.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q2;J0', 'pass']",,,,
1,4,,DQN_Player,DISCARD,pass,0.0,[ 3.  5.  6.  6.  7.  9.  9. 11. 11. 11. 11. 11. 11.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,R0,DISCARD,C3;Q2;J1,0.0,[ 1.  5.  8.  8.  8.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[ 3.  3. 12.  0.  0.  0.  0.  0.  0.  0.  0.],"['C3;Q2;J0', 'C3;Q2;J1', 'pass']",,,,
1,4,,R1,DISCARD,pass,0.0,[2. 8. 8. 8. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[ 3.  3. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3.  3. 12.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,4,,R2,DISCARD,pass,0.0,[ 2.  4.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3.  3. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3.  3. 12.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,R0,DECLARE_PIZZA,,,,,,,,,,
1,5,,R0,DISCARD,C11;Q2;J0,0.0,[ 1.  5.  8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C1;Q1;J0', 'C5;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'pass']",,,,
1,5,,R1,DISCARD,C8;Q2;J0,0.0,[2. 8. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q2;J0', 'C8;Q3;J0', 'C8;Q4;J0', 'C9;Q2;J0', 'pass']",,,,
1,5,,R2,DISCARD,pass,0.0,[ 2.  4.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,DQN_Player,DISCARD,C6;Q2;J0,0.0,[ 3.  5.  7.  9.  9. 11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q2;J0', 'pass']",,,,
1,5,,R0,DISCARD,pass,0.0,[ 1.  5.  8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,R1,DISCARD,pass,0.0,[2. 8. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,DQN_Player,DECLARE_PIZZA,,,,,,,,,,
1,6,,DQN_Player,DISCARD,C11;Q6;J0,0.0,[3. 5. 7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.],"['C3;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'C11;Q5;J0', 'C11;Q6;J0', 'pass']",,,,
1,6,,R0,DISCARD,pass,0.0,[ 1.  5.  8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.],['pass'],,,,
1,6,,R1,DISCARD,pass,0.0,[2. 8. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.],['pass'],,,,
1,6,,R2,DISCARD,pass,0.0,[ 2.  4.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,DQN_Player,DECLARE_PIZZA,,,,,,,,,,
1,7,,DQN_Player,DISCARD,C5;Q1;J0,0.0,[3. 7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'pass']",,,,
1,7,,R0,DISCARD,C1;Q1;J0,0.0,[ 5.  8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'pass']",,,,
1,7,,R1,DISCARD,pass,0.0,[2. 8. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,7,,R2,DISCARD,pass,0.0,[ 2.  4.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,7,,DQN_Player,DISCARD,pass,0.0,[3. 7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R0,DECLARE_PIZZA,,,,,,,,,,
1,8,,R0,DISCARD,C5;Q1;J0,0.0,[ 8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'pass']",,,,
1,8,,R1,DISCARD,C2;Q1;J0,0.0,[8. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'pass']",,,,
1,8,,R2,DISCARD,pass,0.0,[ 2.  4.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,8,,DQN_Player,DISCARD,pass,0.0,[3. 7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,8,,R0,DISCARD,pass,0.0,[ 8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R1,DECLARE_PIZZA,,,,,,,,,,
1,9,,R1,DISCARD,C8;Q1;J0,0.0,[8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q1;J0', 'C8;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'pass']",,,,
1,9,,R2,DISCARD,C2;Q1;J0,0.0,[ 4.  7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C4;Q1;J0', 'C7;Q1;J0', 'pass']",,,,
1,9,,DQN_Player,DISCARD,pass,0.0,[3. 7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,9,,R0,DISCARD,pass,0.0,[ 8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,9,,R1,DISCARD,pass,0.0,[8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R2,DECLARE_PIZZA,,,,,,,,,,
1,10,,R2,DISCARD,C4;Q1;J0,0.0,[ 7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C7;Q1;J0', 'C10;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
1,10,,DQN_Player,DISCARD,C3;Q1;J0,0.0,[7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'pass']",,,,
1,10,,R0,DISCARD,pass,0.0,[ 8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,10,,R1,DISCARD,pass,0.0,[8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,10,,R2,DISCARD,pass,0.0,[ 7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,DQN_Player,DECLARE_PIZZA,,,,,,,,,,
1,11,,DQN_Player,DISCARD,C7;Q1;J0,0.0,[9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'pass']",,,,
1,11,,R0,DISCARD,pass,0.0,[ 8.  8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,11,,R1,DISCARD,pass,0.0,[8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,11,,R2,DISCARD,pass,0.0,[ 7. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,DQN_Player,DECLARE_PIZZA,,,,,,,,,,
1,12,,DQN_Player,DISCARD,C9;Q1;J0,0.0,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C9;Q1;J0', 'C9;Q2;J0', 'pass']",,,,
1,12,,R0,DISCARD,C8;Q1;J0,0.0,[ 8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'pass']",,,,
1,12,,R1,DISCARD,pass,0.0,[8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,12,,R2,DISCARD,C7;Q1;J0,0.0,[10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'pass']",,,,
1,12,,DQN_Player,DISCARD,pass,0.0,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,12,,R0,DISCARD,pass,0.0,[ 8.  8.  9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R2,DECLARE_PIZZA,,,,,,,,,,
1,13,,R2,DISCARD,C10;Q1;J0,0.0,[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C10;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
1,13,,DQN_Player,DISCARD,C9;Q1;J0,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C9;Q1;J0', 'pass']",,,,
1,13,,R0,DISCARD,C8;Q2;J0,0.0,[ 9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q1;J0', 'C8;Q2;J0', 'pass']",,,,
1,13,,R1,DISCARD,pass,0.0,[8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,13,,R2,DISCARD,pass,0.0,[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,13,,R0,DISCARD,pass,0.0,[ 9. 10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R0,DECLARE_PIZZA,,,,,,,,,,
1,14,,R0,DISCARD,C10;Q3;J0,0.0,[ 9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],"['C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'pass']",,,,
1,14,,R1,DISCARD,pass,0.0,[8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
